id,transaction_no,symbol,buyer,seller,quantity,rate,amount,date
2287773,2020000000000000.0,JFL,,,93744,884.0,82869696.0,2024-11-24
2302005,2020000000000000.0,PHCL,,,58278,555.0,32344290.0,2024-11-24
2301956,2020000000000000.0,PHCL,,,58278,555.0,32344290.0,2024-11-24
2303169,2020000000000000.0,BFC,,,33850,808.0,27350800.0,2024-11-24
2303069,2020000000000000.0,BFC,,,33850,808.0,27350800.0,2024-11-24
2308553,2020000000000000.0,JFL,,,20000,968.3,19366000.0,2024-11-24
2308653,2020000000000000.0,JFL,,,20000,968.3,19366000.0,2024-11-24
2295304,2020000000000000.0,PHCL,,,32890,561.0,18451290.0,2024-11-24
2295204,2020000000000000.0,PHCL,,,32890,561.0,18451290.0,2024-11-24
2309694,2020000000000000.0,SBI,,,37656,462.0,17397072.0,2024-11-24
2302400,2020000000000000.0,HLIPO,,,65000,245.7,15970500.0,2024-11-24
2302300,2020000000000000.0,HLIPO,,,65000,245.7,15970500.0,2024-11-24
2350731,2020000000000000.0,USHEC,65.0,28.0,26000,587.0,15262000.0,2024-11-25
2350780,2020000000000000.0,USHEC,65.0,28.0,26000,587.0,15262000.0,2024-11-25
2265737,2020000000000000.0,RFPL,84.0,84.0,18990,784.5,14897655.0,2024-11-21
2265637,2020000000000000.0,RFPL,84.0,84.0,18990,784.5,14897655.0,2024-11-21
2298182,2020000000000000.0,PHCL,,,25360,564.0,14303040.0,2024-11-24
2298282,2020000000000000.0,PHCL,,,25360,564.0,14303040.0,2024-11-24
2308989,2020000000000000.0,MLBBL,,,7500,1875.0,14062500.0,2024-11-24
2329905,2020000000000000.0,NRN,,,12929,996.0,12877284.0,2024-11-24
2329985,2020000000000000.0,NRN,,,12929,996.0,12877284.0,2024-11-24
2309667,2020000000000000.0,SBI,,,26619,461.0,12271359.0,2024-11-24
2309605,2020000000000000.0,SBI,,,26619,461.0,12271359.0,2024-11-24
2299676,2020000000000000.0,RFPL,,,15000,770.3,11554500.0,2024-11-24
2299576,2020000000000000.0,RFPL,,,15000,770.3,11554500.0,2024-11-24
2286029,2020000000000000.0,MEN,,,15011,730.1,10959531.1,2024-11-24
2286129,2020000000000000.0,MEN,,,15011,730.1,10959531.1,2024-11-24
2340964,2020000000000000.0,JFL,41.0,62.0,9990,1006.9,10058931.0,2024-11-25
2341064,2020000000000000.0,JFL,41.0,62.0,9990,1006.9,10058931.0,2024-11-25
2330030,2020000000000000.0,NRN,,,10000,996.0,9960000.0,2024-11-24
2329950,2020000000000000.0,NRN,,,10000,996.0,9960000.0,2024-11-24
2351586,2020000000000000.0,SMHL,28.0,64.0,9890,949.0,9385610.0,2024-11-25
2351687,2020000000000000.0,SMHL,28.0,64.0,9890,949.0,9385610.0,2024-11-25
2288711,2020000000000000.0,JFL,,,10000,910.5,9105000.0,2024-11-24
2288611,2020000000000000.0,JFL,,,10000,910.5,9105000.0,2024-11-24
2309365,2020000000000000.0,SBI,,,17651,464.0,8190064.0,2024-11-24
2307575,2020000000000000.0,NMFBSP,,,10000,755.0,7550000.0,2024-11-24
2307675,2020000000000000.0,NMFBSP,,,10000,755.0,7550000.0,2024-11-24
2298272,2020000000000000.0,RFPL,,,9190,800.0,7352000.0,2024-11-24
2298172,2020000000000000.0,RFPL,,,9190,800.0,7352000.0,2024-11-24
2332741,2020000000000000.0,NFS,,,5000,1440.0,7200000.0,2024-11-24
2332841,2020000000000000.0,NFS,,,5000,1440.0,7200000.0,2024-11-24
2347197,2020000000000000.0,PFL,56.0,33.0,9420,735.8,6931236.0,2024-11-25
2347247,2020000000000000.0,PFL,56.0,33.0,9420,735.8,6931236.0,2024-11-25
2296247,2020000000000000.0,NRN,,,6527,997.0,6507419.0,2024-11-24
2296170,2020000000000000.0,NRN,,,6527,997.0,6507419.0,2024-11-24
2297841,2020000000000000.0,RFPL,,,8000,799.9,6399200.0,2024-11-24
2297741,2020000000000000.0,RFPL,,,8000,799.9,6399200.0,2024-11-24
